"*InvoiceNo","*Customer","Email","*InvoiceDate","*DueDate","Terms","Location","Memo","Item","ItemDescription","ItemQuantity","ItemRate","*ItemAmount","Taxable","TaxRate","Service Date"
"46287","Chef Bobo Brand","","05/28/2026","06/27/2026","Net 10","","","","Packaging (CPG) Graphic Designer","2.50","41.25","103.125","N","0%","05/22/2026"
"46288","Grapevine Graphics & Print","","05/28/2026","06/27/2026","Net 10","","","","LF Print Production Artist - Prepress 4R87W6X7","38.75","39.60","1534.5","N","0%","05/22/2026"
"46289","Hexagon Manufacturing Intelligence LLC","","05/28/2026","06/27/2026","Net 30","","513103-59221","","Demand Gen","44.50","103.00","4583.5","N","0%","05/22/2026"
"46290","Ideas At Dawn","","05/28/2026","06/27/2026","Net 10","","","","AEC Proposal Graphic Designer","1.42","97.50","138.45","N","0%","05/22/2026"
"46291","Jazwares, LLC","","05/28/2026","06/27/2026","Net 30","","","","Media Asset Coordinator","41.75","37.50","1565.625","N","0%","05/22/2026"
"46292","Royal Caribbean Int'l","","05/28/2026","06/27/2026","Net 60","","PO163103RCL","","Proofreader","20.00","55.00","1100","N","0%","05/15/2026"
"46292","Royal Caribbean Int'l","","05/28/2026","06/27/2026","Net 60","","PO163103RCL","","Proofreader","8.00","55.00","440","N","0%","05/22/2026"
"46293","Vitas Healthcare Corp","","05/28/2026","06/27/2026","Net 30","","","","Temp Digital Designer 939784Y6","40.00","70.50","2820","N","0%","05/22/2026"
"46293","Vitas Healthcare Corp","","05/28/2026","06/27/2026","Net 30","","","","Temp Digital Designer 939784Y6","40.00","67.50","2700","N","0%","05/22/2026"
